"filename", "language", "TypeScript", "Vue", "CSS", "XML", "comment", "blank", "total"
"d:\study\EC\ecFront\src\App.vue", "Vue", 0, 57, 0, 0, 3, 10, 70
"d:\study\EC\ecFront\src\assets\base.css", "CSS", 0, 0, 71, 0, 2, 14, 87
"d:\study\EC\ecFront\src\assets\logo.svg", "XML", 0, 0, 0, 1, 0, 1, 2
"d:\study\EC\ecFront\src\assets\main.css", "CSS", 0, 0, 18, 0, 0, 4, 22
"d:\study\EC\ecFront\src\main.ts", "TypeScript", 9, 0, 0, 0, 0, 6, 15
"d:\study\EC\ecFront\src\pages\components\Footer.vue", "Vue", 0, 17, 0, 0, 3, 3, 23
"d:\study\EC\ecFront\src\pages\components\Header.vue", "Vue", 0, 65, 0, 0, 1, 8, 74
"d:\study\EC\ecFront\src\pages\components\icons\IconCommunity.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\study\EC\ecFront\src\pages\components\icons\IconDocumentation.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\study\EC\ecFront\src\pages\components\icons\IconEcosystem.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\study\EC\ecFront\src\pages\components\icons\IconSupport.vue", "Vue", 0, 7, 0, 0, 0, 1, 8
"d:\study\EC\ecFront\src\pages\components\icons\IconTooling.vue", "Vue", 0, 18, 0, 0, 1, 1, 20
"d:\study\EC\ecFront\src\pages\views\AboutView.vue", "Vue", 0, 14, 0, 0, 0, 2, 16
"d:\study\EC\ecFront\src\pages\views\HomeView.vue", "Vue", 0, 2, 0, 0, 0, 2, 4
"d:\study\EC\ecFront\src\pages\views\ManagerMenu.vue", "Vue", 0, 5, 0, 0, 1, 1, 7
"d:\study\EC\ecFront\src\router\index.ts", "TypeScript", 29, 0, 0, 0, 9, 3, 41
"d:\study\EC\ecFront\src\shared\api\api-common.ts", "TypeScript", 60, 0, 0, 0, 33, 6, 99
"d:\study\EC\ecFront\src\shared\api\endpoints.ts", "TypeScript", 5, 0, 0, 0, 0, 1, 6
"d:\study\EC\ecFront\src\shared\service\category.service.ts", "TypeScript", 19, 0, 0, 0, 4, 5, 28
"d:\study\EC\ecFront\src\shared\service\goods.service.ts", "TypeScript", 9, 0, 0, 0, 1, 2, 12
"d:\study\EC\ecFront\src\shared\stores\category-store.ts", "TypeScript", 117, 0, 0, 0, 2, 10, 129
"d:\study\EC\ecFront\src\shared\stores\counter.ts", "TypeScript", 22, 0, 0, 0, 0, 3, 25
"d:\study\EC\ecFront\src\shared\stores\error-response-store.ts", "TypeScript", 24, 0, 0, 0, 0, 3, 27
"d:\study\EC\ecFront\src\shared\stores\goods-store.ts", "TypeScript", 52, 0, 0, 0, 1, 4, 57
"Total", "-", 346, 206, 89, 1, 61, 93, 796
